ERROR:[2023-03-25 14:06:41,532]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:44,456]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:47,412]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:50,323]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:53,291]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:56,231]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:59,199]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:02,206]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:05,165]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:08,145]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:11,077]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:14,002]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:16,978]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:19,957]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:22,927]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:25,902]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:28,868]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:31,834]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:34,770]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:37,759]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:40,728]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:43,663]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:46,655]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:49,656]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:52,579]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:55,551]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:58,538]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:08:01,518]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:08:04,433]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:08:07,417]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:08:10,348]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:08:13,319]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:08:16,273]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:08:19,214]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:08:22,146]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:08:25,114]:requester-129 : Invalid proxy, using no proxy instead
